path,related_unit,approved_symbols,current_sha256,audit_time_sha256,post_audit_modified,scope_match,required_tests,required_runtime_evidence,recommended_action,reason
engine/replay.py,ALGO-011,derive_coordinate_seed;select_rng_version;ReplaySession;run_random_batch,a98e2e0be1189080d4ee1a1575a50a2ad761676e8a8d2775fe29a31380a38cf5,a98e2e0be1189080d4ee1a1575a50a2ad761676e8a8d2775fe29a31380a38cf5,false,PASS,tests/spec_v3/test_b1a_algo011.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,INCLUDE_IN_CHECKPOINT,Scoped re-audit at 2026-07-30T22:51:08+08:00: current content maps to Approved E5 symbols; direct suite passed twice (36/36); E4/E5 hashes validated; source_commit=423326ecf6e602f9c1c3392dd2a844b1e61ce9b3.
engine/rng_v2.py,ALGO-011,derive_coordinate_seed;select_rng_version;ReplaySession;run_random_batch,623c0e0e9b653add7bf15052a790be2ff15e7b45b8c6a0679cab35fb66b9101f,623c0e0e9b653add7bf15052a790be2ff15e7b45b8c6a0679cab35fb66b9101f,false,PASS,tests/spec_v3/test_b1a_algo011.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,INCLUDE_IN_CHECKPOINT,Scoped re-audit at 2026-07-30T22:51:08+08:00: current content maps to Approved E5 symbols; direct suite passed twice (36/36); E4/E5 hashes validated; source_commit=423326ecf6e602f9c1c3392dd2a844b1e61ce9b3.
players/humanlike/config_v2.py,ALGO-009,FrozenConfigV2;validate_and_freeze;validate_and_migrate_v2,7450691363c33b012d5d0aaf43d45829caa91294db6aa36c53080e25aa4a22fc,7450691363c33b012d5d0aaf43d45829caa91294db6aa36c53080e25aa4a22fc,false,PASS,tests/spec_v3/test_b1a_algo009.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,INCLUDE_IN_CHECKPOINT,Scoped re-audit at 2026-07-30T22:51:08+08:00: current content maps to Approved E5 symbols; direct suite passed twice (36/36); E4/E5 hashes validated; source_commit=423326ecf6e602f9c1c3392dd2a844b1e61ce9b3.
players/humanlike/player.py,STATE-010,SeatRuntimeStore;FrozenGlobalParameters;HumanlikeV2Player._set_rp,8626b7cf9a1b253844a2f232aebbda3b83b3f1785bd109495aa32b75121cff50,8626b7cf9a1b253844a2f232aebbda3b83b3f1785bd109495aa32b75121cff50,false,PASS,tests/spec_v3/test_b1a_state010.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,INCLUDE_IN_CHECKPOINT,Scoped re-audit at 2026-07-30T22:51:08+08:00: current content maps to Approved E5 symbols; direct suite passed twice (36/36); E4/E5 hashes validated; source_commit=423326ecf6e602f9c1c3392dd2a844b1e61ce9b3.
players/humanlike/settings_service.py,ALGO-009,FrozenConfigV2;validate_and_freeze;validate_and_migrate_v2,b07eb9dc7f34393bf5cddc576a2318575a028d2c0c7d58a8c58b1d715e55c265,b07eb9dc7f34393bf5cddc576a2318575a028d2c0c7d58a8c58b1d715e55c265,false,PASS,tests/spec_v3/test_b1a_algo009.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,INCLUDE_IN_CHECKPOINT,Scoped re-audit at 2026-07-30T22:51:08+08:00: current content maps to Approved E5 symbols; direct suite passed twice (36/36); E4/E5 hashes validated; source_commit=423326ecf6e602f9c1c3392dd2a844b1e61ce9b3.
players/humanlike/state010.py,STATE-010,SeatRuntimeStore;FrozenGlobalParameters;HumanlikeV2Player._set_rp,373b0b7ba604394050d9a1f9d7b3bac012d803b6d110e1d121683f8c62df95b7,373b0b7ba604394050d9a1f9d7b3bac012d803b6d110e1d121683f8c62df95b7,false,PASS,tests/spec_v3/test_b1a_state010.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,INCLUDE_IN_CHECKPOINT,Scoped re-audit at 2026-07-30T22:51:08+08:00: current content maps to Approved E5 symbols; direct suite passed twice (36/36); E4/E5 hashes validated; source_commit=423326ecf6e602f9c1c3392dd2a844b1e61ce9b3.
tests/spec_v3/test_b1a_algo009.py,ALGO-009,FrozenConfigV2;validate_and_freeze;validate_and_migrate_v2,4d8705a845a25feff1096c93de716f361679c169a9783c95d6f239eacb3c00d0,4d8705a845a25feff1096c93de716f361679c169a9783c95d6f239eacb3c00d0,false,PASS,tests/spec_v3/test_b1a_algo009.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,INCLUDE_IN_CHECKPOINT,Scoped re-audit at 2026-07-30T22:51:08+08:00: current content maps to Approved E5 symbols; direct suite passed twice (36/36); E4/E5 hashes validated; source_commit=423326ecf6e602f9c1c3392dd2a844b1e61ce9b3.
tests/spec_v3/test_b1a_algo011.py,ALGO-011,derive_coordinate_seed;select_rng_version;ReplaySession;run_random_batch,d626d5945e4cd1374df91fc5182ceaefc16c9554f9320391cf107c7ad7a980cb,d626d5945e4cd1374df91fc5182ceaefc16c9554f9320391cf107c7ad7a980cb,false,PASS,tests/spec_v3/test_b1a_algo011.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,INCLUDE_IN_CHECKPOINT,Scoped re-audit at 2026-07-30T22:51:08+08:00: current content maps to Approved E5 symbols; direct suite passed twice (36/36); E4/E5 hashes validated; source_commit=423326ecf6e602f9c1c3392dd2a844b1e61ce9b3.
tests/spec_v3/test_b1a_state010.py,STATE-010,SeatRuntimeStore;FrozenGlobalParameters;HumanlikeV2Player._set_rp,f046ffc9d5a5febbe2913610a971c2944bdaed4acc917c8a91e7a7c690ecd57f,f046ffc9d5a5febbe2913610a971c2944bdaed4acc917c8a91e7a7c690ecd57f,false,PASS,tests/spec_v3/test_b1a_state010.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,INCLUDE_IN_CHECKPOINT,Scoped re-audit at 2026-07-30T22:51:08+08:00: current content maps to Approved E5 symbols; direct suite passed twice (36/36); E4/E5 hashes validated; source_commit=423326ecf6e602f9c1c3392dd2a844b1e61ce9b3.
training/runner.py,ALGO-011,derive_coordinate_seed;select_rng_version;ReplaySession;run_random_batch,2061904326f5243145afb9c82b094d0885d9156268a63db7f5fb916c6ddc6d9a,2061904326f5243145afb9c82b094d0885d9156268a63db7f5fb916c6ddc6d9a,false,PASS,tests/spec_v3/test_b1a_algo011.py,docs/spec-v3/evidence/task18b_b1a/B1-A_runtime_evidence.json,INCLUDE_IN_CHECKPOINT,Scoped re-audit at 2026-07-30T22:51:08+08:00: current content maps to Approved E5 symbols; direct suite passed twice (36/36); E4/E5 hashes validated; source_commit=423326ecf6e602f9c1c3392dd2a844b1e61ce9b3.
